user_id,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Steps,Active_Minutes,Sleep_Duration,Heart_Rate_Avg,Daily_Workout_Time,Diet_Quality,Fitness_Level
152,27,Female,75.1,1.86,175,165,70,1.29,765,,27,3.5,4,2,14.22,5425,51,6.38,63,79,Average,Advanced
153,23,Female,74.2,1.71,199,150,57,1.05,1166,Cardio,34.5,3.3,,1,12.32,11980,51,5.99,87,79,Average,Advanced
154,23,Female,58.2,1.85,196,130,57,1.36,582,HIIT,25.7,1.5,4,1,35.08,14433,64,6.4,72,79,Average,Advanced
155,25,Female,65.9,,180,151,56,1.66,825,Cardio,10,2.5,,1,15.58,10993,176,4.98,99,79,Average,Advanced
156,23,Female,78.7,1.68,191,132,70,1.28,1319,,21.1,3.5,2,2,20.39,11589,48,5.33,87,79,Average,Advanced
157,43,Male,74.2,1.76,188,141,68,0.98,1426,Cardio,21.2,3.1,2,3,20.52,8298,177,4.45,86,79,Average,Advanced
158,18,Male,56.1,2,180,120,57,1.04,1461,HIIT,27.4,2,5,2,12.32,9939,78,5.6,98,79,Average,Advanced
159,45,Female,42.1,1.86,194,129,74,0.91,1176,Strength,22.1,3.6,5,1,33,13738,108,4.85,82,79,Average,Advanced
160,18,Male,40,1.73,168,121,73,0.64,1153,HIIT,29.9,3.1,2,3,18.62,13096,143,7.12,88,79,Average,Advanced
161,18,Male,40,1.85,175,144,51,2,1318,,32.7,2,4,2,21.16,3735,89,5,83,79,Average,Advanced
162,20,Male,,1.81,171,168,74,0.75,793,Strength,24.4,2.1,3,2,22.57,5555,51,4.56,63,79,Average,Advanced
163,22,Female,40,1.75,181,155,50,2,998,Strength,27,1.8,,1,12.82,6982,67,8.34,78,79,Average,Advanced
164,28,Female,107.7,1.99,188,129,55,2,1127,\tYoga,10,2,2,1,17.86,3225,58,5.53,90,79,Average,Advanced
165,18,Female,40,1.8,196,120,70,2,979,Cardio,10,2.6,4,1,20.06,3372,167,5.06,94,79,Average,Advanced
166,57,Female,70,1.81,167,154,53,1.3,1149,Yoga,26.6,1.5,3,3,12.32,11573,170,6.42,69,79,Average,Advanced
167,55,Female,63.2,1.59,161,168,69,1.49,1094,Yoga,19,3.6,3,2,17.45,14388,34,5.88,93,79,Average,Advanced
168,50,Male,69.6,1.71,167,169,57,0.98,470,Yoga,27.2,2.7,2,2,20.42,3712,45,5.42,99,79,Average,Advanced
169,32,Male,57,1.76,170,160,71,1.82,904,Strength,30.9,3.3,4,3,16.01,7444,32,4.33,77,79,Average,Advanced
170,20,Female,75.8,1.87,160,163,63,2,988,HIIT,23.5,2.7,4,3,12.32,13862,122,8.32,61,79,Average,Advanced
171,18,Male,54.7,1.6,167,156,57,1.63,1134,Yoga,22.7,3.4,4,2,15.86,7792,128,5.16,84,79,Average,Advanced
172,30,Male,62.2,1.69,164,134,67,1.24,1783,Cardio,30.3,3.2,3,2,25.59,11331,55,8.52,91,79,Average,Advanced
173,18,Male,97.5,2,169,159,68,1.17,782,Strength,24.8,1.8,2,1,42.88,12782,77,4.99,89,79,Average,Advanced
174,31,Female,51,1.56,193,140,64,1.41,1347,Cardio,28.6,3.5,2,2,25.42,12186,35,4.2,93,79,Average,Advanced
175,18,Male,50.6,1.89,189,130,66,,1278,HIIT,28.5,3.7,4,2,27.87,7995,130,7.72,61,79,Average,Advanced
176,31,Female,71,1.81,199,158,68,1.87,1228,Strength,29.6,2.7,2,2,14.52,8681,120,7.13,75,79,Average,Advanced
177,28,Female,70,1.74,198,169,69,2,1468,Cardio,28.4,2.8,4,2,21.91,11212,45,7.13,84,79,Average,Advanced
178,23,Male,57.8,1.87,172,142,54,1.46,1741,,28.7,3.5,3,2,13.33,3482,101,5.13,81,79,Average,Advanced
179,48,Male,67.3,1.61,173,139,59,0.86,659,Cardio,20.5,2.7,3,,18.23,9436,52,7.65,93,79,Average,Advanced
180,52,Female,73.5,1.78,181,162,67,2,1325,Yoga,21.1,2.3,3,3,18.08,14108,88,6.09,96,79,Average,Advanced
181,18,Male,94.7,1.52,161,141,66,1.4,1446,Yoga,16.7,2.6,3,2,22.4,5502,109,8.55,81,26,Poor,Beginner
182,47,Male,40,1.89,177,139,69,1.3,902,HIIT,26.7,3.3,3,3,26.2,10359,82,7.26,97,26,Poor,Beginner
183,54,Female,63.5,1.51,192,147,70,1.23,526,Yoga,28.3,2.2,,3,17.05,11869,81,8.31,79,26,Poor,Beginner
184,22,Female,60.1,1.71,198,161,70,1.04,533,HIIT,10.3,3.4,5,1,26.74,14280,164,8.55,87,26,Poor,Beginner
185,43,Male,70.4,1.62,178,140,66,,763,HIIT,29.1,3.4,3,1,17.91,5378,174,8.59,80,26,Poor,Beginner
186,31,Male,40,1.77,181,127,51,0.76,1382,Cardio,15.3,2.6,4,,14.09,4111,60,4.92,69,26,Poor,Beginner
187,48,Male,55.5,1.5,183,133,51,0.73,830,Cardio,27.3,2.2,3,3,32.42,14912,111,8.4,86,26,Poor,Beginner
188,51,Male,75.7,,163,147,57,1.02,406,Strength,21.8,1.5,3,3,22.86,9737,100,4.76,72,26,Poor,Beginner
189,23,Female,95.6,1.5,196,152,56,0.5,639,Yoga,25.2,3.2,2,1,13.38,4749,36,7.81,99,26,Poor,Beginner
190,43,Male,102.5,1.79,190,138,69,1.54,844,Cardio,19.7,3.7,4,2,17.07,13108,175,7.06,98,26,Poor,Beginner
191,50,Male,56.6,1.96,196,169,74,2,1299,Strength,24.8,1.6,3,2,20.69,6804,36,5.8,90,26,Poor,Beginner
192,30,Male,40,1.67,176,120,55,1.39,1710,Cardio,18.2,2.7,3,1,12.32,5196,150,7.56,83,26,Poor,Beginner
193,25,Female,74.9,1.66,192,138,58,1.73,1766,HIIT,28.7,2.3,5,1,15.98,6014,155,6.37,70,26,Poor,Beginner
194,19,Female,82.8,1.79,192,127,74,1.18,1140,Cardio,10,2.4,4,3,21.95,6166,134,7.82,60,26,Poor,Beginner
195,45,Female,40,1.93,177,141,56,1.44,,Strength,24,3.6,4,1,23.52,7421,86,7.71,72,26,Poor,Beginner
196,41,Female,73.3,1.71,196,158,56,1.36,1234,Strength,30.1,3.2,4,3,25.83,6351,142,8.34,91,26,Poor,Beginner
197,53,Male,55.3,1.98,177,169,51,0.83,1273,Strength,14.7,2.1,2,2,20.9,14269,147,8.44,87,26,Poor,Beginner
198,35,Male,95.9,1.69,175,129,58,1.22,1674,Cardio,27.5,2.1,3,3,24.01,9633,127,7.6,85,26,Poor,Beginner
199,33,Male,89.6,1.62,175,137,56,1.09,906,Cardio,23.9,1.6,3,1,25.68,13018,176,6.97,93,26,Poor,Beginner
200,21,Male,86.3,1.86,167,143,73,1.26,1783,Cardio,27.1,3.1,3,2,12.93,13508,39,6.6,88,26,Poor,Beginner
